,name,tipo,cmc,lealdade,texto,raridades,preços
42,"Chandra, Flamecaller",Legendary Planeswalker — Chandra,6,Loyalty: 4,"+1: Create two 3/1 red Elemental creature tokens with haste. Exile them at the beginning of the next end step.0: Discard all the cards in your hand, then draw that many cards plus one.−X: Chandra, Flamecaller deals X damage to each creature.",Mítica,R$ 2.99 
43,"Nahiri, the Harbinger",Legendary Planeswalker — Nahiri,4,Loyalty: 4,"+2: You may discard a card. If you do, draw a card.−2: Exile target enchantment, tapped artifact, or tapped creature.−8: Search your library for an artifact or creature card, put it onto the battlefield, then shuffle. It gains haste. Return it to your hand at the beginning of the next end step.",Mítica,R$ 2.51 
44,"Gideon, Champion of Justice",Legendary Planeswalker — Gideon,4,Loyalty: 4,"+1: Put a loyalty counter on Gideon, Champion of Justice for each creature target opponent controls.0: Until end of turn, Gideon, Champion of Justice becomes a Human Soldier creature with power and toughness each equal to the number of loyalty counters on him and gains indestructible. He’s still a planeswalker. Prevent all damage that would be dealt to him this turn.−15: Exile all other permanents.",Mítica,R$ 2.20 
45,Jaya Ballard,Legendary Planeswalker — Jaya,5,Loyalty: 5,"+1: Add {R}{R}{R}. Spend this mana only to cast instant or sorcery spells.+1: Discard up to three cards, then draw that many cards.−8: You get an emblem with “You may cast instant and sorcery spells from your graveyard. If a spell cast this way would be put into your graveyard, exile it instead.”",Mítica,R$ 78.99 
46,"Ashiok, Nightmare Weaver",Legendary Planeswalker — Ashiok,3,Loyalty: 3,"+2: Exile the top three cards of target opponent’s library.−X: Put a creature card with mana value X exiled with Ashiok, Nightmare Weaver onto the battlefield under your control. That creature is a Nightmare in addition to its other types.−10: Exile all cards from all opponents’ hands and graveyards.",Mítica,R$ 7.90 
47,Elminster,Legendary Planeswalker — Elminster,5,Loyalty: 5,"Whenever you scry, the next instant or sorcery spell you cast this turn costs {X} less to cast, where X is the number of cards looked at while scrying this way.+2: Draw a card, then scry 2.−3: Exile the top card of your library. Create a number of 1/1 blue Faerie Dragon creature tokens with flying equal to that card’s mana value.Elminster can be your commander.",Mítica,R$ 13.72 
48,"Minsc & Boo, Timeless Heroes",Legendary Planeswalker — Minsc,4,Loyalty: 3,"When Minsc & Boo, Timeless Heroes enters the battlefield and at the beginning of your upkeep, if you don’t control a creature named Boo, create Boo, a legendary 1/1 red Hamster creature token with trample and haste.+1: Put three +1/+1 counters on up to one target creature with trample or haste.−2: Sacrifice a creature. When you do, Minsc & Boo, Timeless Heroes deals X damage to any target, where X is that creature’s power. If the sacrificed creature was a Hamster, draw X cards.",Mítica,R$ 0.00 
49,"Tasha, the Witch Queen",Legendary Planeswalker — Tasha,5,Loyalty: 4,"Whenever you cast a spell you don’t own, create a 3/3 black Demon creature token.+1: Draw a card. For each opponent, exile up to one target instant or sorcery card from that player’s graveyard and put a page counter on it.−3: You may cast a spell from among cards in exile with page counters on them without paying its mana cost.Tasha, the Witch Queen can be your commander.",Mítica,R$ 20.68 
50,"Vivien, Champion of the Wilds",Legendary Planeswalker — Vivien,3,Loyalty: 4,"You may cast creature spells as though they had flash.+1: Until your next turn, up to one target creature gains vigilance and reach.−2: Look at the top three cards of your library. Exile one face down and put the rest on the bottom of your library in any order. For as long as it remains exiled, you may look at that card and you may cast it if it’s a creature spell.",Rara,R$ 4.66 
51,"Xenagos, the Reveler",Legendary Planeswalker — Xenagos,4,Loyalty: 3,"+1: Add X mana in any combination of {R} and/or {G}, where X is the number of creatures you control.0: Create a 2/2 red and green Satyr creature token with haste.−6: Exile the top seven cards of your library. You may put any number of creature and/or land cards from among them onto the battlefield.",Mítica,R$ 5.99 
52,Tibalt the Chaotic,Legendary Planeswalker — Tibalt,3,Loyalty: 4,"+1: Cast a copy of one of the following cards chosen at random—Ignorant Bliss, Crack the Earth, Blazing Volley.−3: Cast a copy of one of the following cards chosen at random—Seething Song, Dance with Devils, Flamebreak.−6: Cast a copy of one of the following cards chosen at random—Hellion Eruption, Insurrection, Warp World.",Rara,R$ 8.00 
53,"Abian, Luvion Usurper",Legendary Planeswalker — Abian,7,Loyalty: 5,"As Abian, Luvion Usurper enters the battlefield, you become Abian. (Your life total becomes equal to their loyalty. You can activate the loyalty abilities by spending or gaining life.)+3: Discard your hand, then draw cards equal to the greatest power among creatures you control.+1: Create a 3/2 red and green Spirit creature token.−X: You deal X damage to any target.",Rara,R$ 6.95 
54,"Kaya, Ghost Haunter",Legendary Planeswalker — Kaya,4,Loyalty: 3,"0: Exile Kaya, Ghost Haunter haunting target creature for as long as that creature remains on the battlefield.−1: You get an emblem with, “At the beginning of your upkeep, this emblem deals 3 damage to the owner of target haunted creature.”−2: You get an emblem with, “At the beginning of your upkeep, gain control of target haunted creature for as long as it remains haunted.”",Rara,R$ 1.50 
55,Garruk Wildspeaker,Legendary Planeswalker — Garruk,4,Loyalty: 3,+1: Untap two target lands.−1: Create a 3/3 green Beast creature token.−4: Creatures you control get +3/+3 and gain trample until end of turn.,Mítica,R$ 99.90
56,Commodore Guff,Legendary Planeswalker — Guff,4,Loyalty: 5,"At the beginning of your end step, put a loyalty counter on another target planeswalker you control.+1: Create a 1/1 red Wizard creature token with “{T}: Add {R}. Spend this mana only to cast a planeswalker spell.”−3: You draw X cards and Commodore Guff deals X damage to each opponent, where X is the number of planeswalkers you control.Commodore Guff can be your commander.",Mítica,R$ 13.12 
57,"Teyo, Geometric Tactician",Legendary Planeswalker — Teyo,3,Loyalty: 3,"When Teyo, Geometric Tactician enters the battlefield, create a 0/4 white Wall creature token with defender and flying.+1: You and target opponent each draw a card.−2: Choose left or right. Until your next turn, each player may attack only the nearest opponent in the last chosen direction and planeswalkers controlled by that opponent.",Rara,R$ 10.49 
58,"Vronos, Masked Inquisitor",Legendary Planeswalker — Vronos,5,Loyalty: 5,"+1: Up to two other target planeswalkers you control phase out at the beginning of the next end step. (Treat them and anything attached to them as though they don’t exist until your next turn.)−2: For each opponent, return up to one target nonland permanent that player controls to its owner’s hand.−7: Target artifact you control becomes a 9/9 Construct artifact creature and gains vigilance, indestructible, and “This creature can’t be blocked.”",Rara,R$ 20.50 
59,"Chandra, Legacy of Fire",Legendary Planeswalker — Chandra,5,Loyalty: 3,"At the beginning of your end step, Chandra, Legacy of Fire deals X damage to each opponent, where X is the number of planeswalkers you control.+1: Add {R} for each planeswalker you control.0: Remove a loyalty counter from each of any number of permanents you control. Exile that many cards from the top of your library. You may play them this turn.",Rara,R$ 9.74 
60,"Ugin, the Ineffable",Legendary Planeswalker — Ugin,6,Loyalty: 4,"Colorless spells you cast cost {2} less to cast.+1: Exile the top card of your library face down and look at it. Create a 2/2 colorless Spirit creature token. When that token leaves the battlefield, put the exiled card into your hand.−3: Destroy target permanent that’s one or more colors.",Rara,R$ 7.49 
61,Ajani Steadfast,Legendary Planeswalker — Ajani,4,Loyalty: 4,"+1: Until end of turn, up to one target creature gets +1/+1 and gains first strike, vigilance, and lifelink.−2: Put a +1/+1 counter on each creature you control and a loyalty counter on each other planeswalker you control.−7: You get an emblem with “If a source would deal damage to you or a planeswalker you control, prevent all but 1 of that damage.”",Mítica,R$ 4.70 
62,"Elspeth, Sun's Champion",Legendary Planeswalker — Elspeth,6,Loyalty: 4,+1: Create three 1/1 white Soldier creature tokens.−3: Destroy all creatures with power 4 or greater.−7: You get an emblem with “Creatures you control get +2/+2 and have flying.”,Mítica,R$ 6.39 
63,Gideon Jura,Legendary Planeswalker — Gideon,5,Loyalty: 6,"+2: During target opponent’s next turn, creatures that player controls attack Gideon Jura if able.−2: Destroy target tapped creature.0: Until end of turn, Gideon Jura becomes a 6/6 Human Soldier creature that’s still a planeswalker. Prevent all damage that would be dealt to him this turn.",Mítica,R$ 0.89 
64,The Wanderer,Legendary Planeswalker,4,Loyalty: 5,"No more than one creature can attack The Eternal Wanderer each combat.+1: Exile up to one target artifact or creature. Return that card to the battlefield under its owner’s control at the beginning of that player’s next end step.0: Create a 2/2 white Samurai creature token with double strike.−4: For each player, choose a creature that player controls. Each player sacrifices all creatures they control not chosen this way.",Incomum,R$ 0.80 
65,Jace Beleren,Legendary Planeswalker — Jace,3,Loyalty: 3,+2: Each player draws a card.−1: Target player draws a card.−10: Target player mills twenty cards.,Mítica,R$ 400.00 
66,"Jace, Mirror Mage",Legendary Planeswalker — Jace,3,Loyalty: 4,"Kicker {2}When Jace, Mirror Mage enters the battlefield, if Jace was kicked, create a token that’s a copy of Jace, Mirror Mage, except it’s not legendary and its starting loyalty is 1.+1: Scry 2.0: Draw a card and reveal it. Remove a number of loyalty counters equal to that card’s mana value from Jace, Mirror Mage.",Mítica,R$ 1.99 
67,"Narset, Parter of Veils",Legendary Planeswalker — Narset,3,Loyalty: 5,"Each opponent can’t draw more than one card each turn.−2: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",Incomum,R$ 3.95 
68,"Chandra, Awakened Inferno",Legendary Planeswalker — Chandra,6,Loyalty: 6,"This spell can’t be countered.+2: Each opponent gets an emblem with “At the beginning of your upkeep, this emblem deals 1 damage to you.”−3: Chandra, Awakened Inferno deals 3 damage to each non-Elemental creature.−X: Chandra, Awakened Inferno deals X damage to target creature or planeswalker. If a permanent dealt damage this way would die this turn, exile it instead.",Mítica,R$ 14.75 
69,"Chandra, Torch of Defiance",Legendary Planeswalker — Chandra,4,Loyalty: 4,"+1: Exile the top card of your library. You may cast that card. If you don’t, Chandra, Torch of Defiance deals 2 damage to each opponent.+1: Add {R}{R}.−3: Chandra, Torch of Defiance deals 4 damage to target creature.−7: You get an emblem with “Whenever you cast a spell, this emblem deals 5 damage to any target.”",Mítica,R$ 6.00 
70,Sarkhan the Masterless,Legendary Planeswalker — Sarkhan,5,Loyalty: 5,"Whenever a creature attacks you or a planeswalker you control, each Dragon you control deals 1 damage to that creature.+1: Until end of turn, each planeswalker you control becomes a 4/4 red Dragon creature and gains flying.−3: Create a 4/4 red Dragon creature token with flying.",Rara,R$ 0.52 
71,"Calix, Destiny's Hand",Legendary Planeswalker — Calix,4,Loyalty: 4,+1: Look at the top four cards of your library. You may reveal an enchantment card from among them and put that card into your hand. Put the rest on the bottom of your library in a random order.−3: Exile target creature or enchantment you don’t control until target enchantment you control leaves the battlefield.−7: Return all enchantment cards from your graveyard to the battlefield.,Mítica,R$ 5.31 
72,Narset of the Ancient Way,Legendary Planeswalker — Narset,4,Loyalty: 4,"+1: You gain 2 life. Add {U}, {R}, or {W}. Spend this mana only to cast a noncreature spell.−2: Draw a card, then you may discard a card. When you discard a nonland card this way, Narset of the Ancient Way deals damage equal to that card’s mana value to target creature or planeswalker.−6: You get an emblem with “Whenever you cast a noncreature spell, this emblem deals 2 damage to any target.”",Mítica,R$ 2.93 
73,"Saheeli, Sublime Artificer",Legendary Planeswalker — Saheeli,3,Loyalty: 5,"Whenever you cast a noncreature spell, create a 1/1 colorless Servo artifact creature token.−2: Target artifact you control becomes a copy of another target artifact or creature you control until end of turn, except it’s an artifact in addition to its other types.",Incomum,R$ 0.99 
74,"Tevesh Szat, Doom of Fools",Legendary Planeswalker — Szat,5,Loyalty: 4,"+2: Create two 0/1 black Thrull creature tokens.+1: You may sacrifice another creature or planeswalker. If you do, draw two cards, then draw another card if the sacrificed permanent was a commander.−10: Gain control of all commanders. Put all commanders from the command zone onto the battlefield under your control.Tevesh Szat, Doom of Fools can be your commander.Partner",Mítica,R$ 169.99 
75,"Jeska, Thrice Reborn",Legendary Planeswalker — Jeska,3,Loyalty: 0,"Jeska, Thrice Reborn enters the battlefield with a loyalty counter on her for each time you’ve cast a commander from the command zone this game.0: Choose target creature. Until your next turn, if that creature would deal combat damage to one of your opponents, it deals triple that damage to that player instead.−X: Jeska, Thrice Reborn deals X damage to each of up to three targets.Jeska, Thrice Reborn can be your commander.Partner",Mítica,R$ 189.99
76,"Daretti, Ingenious Iconoclast",Legendary Planeswalker — Daretti,3,Loyalty: 3,"+1: Create a 1/1 colorless Construct artifact creature token with defender.−1: You may sacrifice an artifact. If you do, destroy target artifact or creature.−6: Choose target artifact card in a graveyard or artifact on the battlefield. Create three tokens that are copies of it.",Mítica,R$ 135.35 
77,"Kaya, Ghost Assassin",Legendary Planeswalker — Kaya,4,Loyalty: 5,"0: Exile Kaya, Ghost Assassin or up to one target creature. Return that card to the battlefield under its owner’s control at the beginning of your next upkeep. You lose 2 life.−1: Each opponent loses 2 life and you gain 2 life.−2: Each opponent discards a card and you draw a card.",Mítica,R$ 34.30 
78,Dack Fayden,Legendary Planeswalker — Dack,3,Loyalty: 3,"+1: Target player draws two cards, then discards two cards.−2: Gain control of target artifact.−6: You get an emblem with “Whenever you cast a spell that targets one or more permanents, gain control of those permanents.”",Mítica,R$ 58.00 
79,"Nicol Bolas, Planeswalker",Legendary Planeswalker — Bolas,8,Loyalty: 5,"+3: Destroy target noncreature permanent.−2: Gain control of target creature.−9: Nicol Bolas, Planeswalker deals 7 damage to target player or planeswalker. That player or that planeswalker’s controller discards seven cards, then sacrifices seven permanents.",Mítica,R$ 12.70 
80,Chandra Nalaar,Legendary Planeswalker — Chandra,5,Loyalty: 6,+1: Chandra Nalaar deals 1 damage to target player or planeswalker.−X: Chandra Nalaar deals X damage to target creature.−8: Chandra Nalaar deals 10 damage to target player or planeswalker and each creature that player or that planeswalker’s controller controls.,Mítica,R$ 99.90
